Data,Hospital,Acronim,Grup_Edat,Genere,Infeccions,Risc_Contagi_Calc
2025-01-01,Hospital Vall d'Hebron,HVD,0-14,Dona,0,2.71
2025-01-01,Hospital Vall d'Hebron,HVD,0-14,Home,2,2.71
2025-01-01,Hospital Vall d'Hebron,HVD,15-44,Dona,2,2.71
2025-01-01,Hospital Vall d'Hebron,HVD,15-44,Home,1,2.71
2025-01-01,Hospital Vall d'Hebron,HVD,45-64,Dona,4,2.71
2025-01-01,Hospital Vall d'Hebron,HVD,45-64,Home,3,2.71
2025-01-01,Hospital Vall d'Hebron,HVD,65+,Dona,4,2.71
2025-01-01,Hospital Vall d'Hebron,HVD,65+,Home,6,2.71
2025-01-01,Hospital Clínic,HC,0-14,Dona,0,0.68
2025-01-01,Hospital Clínic,HC,0-14,Home,0,0.68
2025-01-01,Hospital Clínic,HC,15-44,Dona,2,0.68
2025-01-01,Hospital Clínic,HC,15-44,Home,0,0.68
2025-01-01,Hospital Clínic,HC,45-64,Dona,2,0.68
2025-01-01,Hospital Clínic,HC,45-64,Home,2,0.68
2025-01-01,Hospital Clínic,HC,65+,Dona,5,0.68
2025-01-01,Hospital Clínic,HC,65+,Home,5,0.68
2025-01-01,Hospital Sant Pau,HSP,0-14,Dona,2,0.12
2025-01-01,Hospital Sant Pau,HSP,0-14,Home,1,0.12
2025-01-01,Hospital Sant Pau,HSP,15-44,Dona,2,0.12
2025-01-01,Hospital Sant Pau,HSP,15-44,Home,3,0.12
2025-01-01,Hospital Sant Pau,HSP,45-64,Dona,0,0.12
2025-01-01,Hospital Sant Pau,HSP,45-64,Home,0,0.12
2025-01-01,Hospital Sant Pau,HSP,65+,Dona,1,0.12
2025-01-01,Hospital Sant Pau,HSP,65+,Home,2,0.12
2025-01-01,Hospital Bellvitge,HB,0-14,Dona,0,0.01
2025-01-01,Hospital Bellvitge,HB,0-14,Home,2,0.01
2025-01-01,Hospital Bellvitge,HB,15-44,Dona,0,0.01
2025-01-01,Hospital Bellvitge,HB,15-44,Home,1,0.01
2025-01-01,Hospital Bellvitge,HB,45-64,Dona,0,0.01
2025-01-01,Hospital Bellvitge,HB,45-64,Home,0,0.01
2025-01-01,Hospital Bellvitge,HB,65+,Dona,0,0.01
2025-01-01,Hospital Bellvitge,HB,65+,Home,2,0.01
2025-01-01,Hospital Can Ruti,HCR,0-14,Dona,0,0.0
2025-01-01,Hospital Can Ruti,HCR,0-14,Home,0,0.0
2025-01-01,Hospital Can Ruti,HCR,15-44,Dona,1,0.0
2025-01-01,Hospital Can Ruti,HCR,15-44,Home,1,0.0
2025-01-01,Hospital Can Ruti,HCR,45-64,Dona,2,0.0
2025-01-01,Hospital Can Ruti,HCR,45-64,Home,2,0.0
2025-01-01,Hospital Can Ruti,HCR,65+,Dona,1,0.0
2025-01-01,Hospital Can Ruti,HCR,65+,Home,5,0.0
2025-01-01,Hospital Arnau de Vilanova,HAV,0-14,Dona,0,0.0
2025-01-01,Hospital Arnau de Vilanova,HAV,0-14,Home,0,0.0
2025-01-01,Hospital Arnau de Vilanova,HAV,15-44,Dona,0,0.0
2025-01-01,Hospital Arnau de Vilanova,HAV,15-44,Home,1,0.0
2025-01-01,Hospital Arnau de Vilanova,HAV,45-64,Dona,2,0.0
2025-01-01,Hospital Arnau de Vilanova,HAV,45-64,Home,1,0.0
2025-01-01,Hospital Arnau de Vilanova,HAV,65+,Dona,3,0.0
2025-01-01,Hospital Arnau de Vilanova,HAV,65+,Home,0,0.0
2025-01-01,Hospital Josep Trueta,HJT,0-14,Dona,2,0.0
2025-01-01,Hospital Josep Trueta,HJT,0-14,Home,2,0.0
2025-01-01,Hospital Josep Trueta,HJT,15-44,Dona,2,0.0
2025-01-01,Hospital Josep Trueta,HJT,15-44,Home,2,0.0
2025-01-01,Hospital Josep Trueta,HJT,45-64,Dona,0,0.0
2025-01-01,Hospital Josep Trueta,HJT,45-64,Home,0,0.0
2025-01-01,Hospital Josep Trueta,HJT,65+,Dona,1,0.0
2025-01-01,Hospital Josep Trueta,HJT,65+,Home,2,0.0
2025-01-02,Hospital Vall d'Hebron,HVD,0-14,Dona,3,3.96
2025-01-02,Hospital Vall d'Hebron,HVD,0-14,Home,1,3.96
2025-01-02,Hospital Vall d'Hebron,HVD,15-44,Dona,4,3.96
2025-01-02,Hospital Vall d'Hebron,HVD,15-44,Home,1,3.96
2025-01-02,Hospital Vall d'Hebron,HVD,45-64,Dona,0,3.96
2025-01-02,Hospital Vall d'Hebron,HVD,45-64,Home,3,3.96
2025-01-02,Hospital Vall d'Hebron,HVD,65+,Dona,6,3.96
2025-01-02,Hospital Vall d'Hebron,HVD,65+,Home,6,3.96
2025-01-02,Hospital Clínic,HC,0-14,Dona,0,1.12
2025-01-02,Hospital Clínic,HC,0-14,Home,0,1.12
2025-01-02,Hospital Clínic,HC,15-44,Dona,1,1.12
2025-01-02,Hospital Clínic,HC,15-44,Home,2,1.12
2025-01-02,Hospital Clínic,HC,45-64,Dona,3,1.12
2025-01-02,Hospital Clínic,HC,45-64,Home,1,1.12
2025-01-02,Hospital Clínic,HC,65+,Dona,6,1.12
2025-01-02,Hospital Clínic,HC,65+,Home,2,1.12
2025-01-02,Hospital Sant Pau,HSP,0-14,Dona,0,0.22
2025-01-02,Hospital Sant Pau,HSP,0-14,Home,1,0.22
2025-01-02,Hospital Sant Pau,HSP,15-44,Dona,0,0.22
2025-01-02,Hospital Sant Pau,HSP,15-44,Home,2,0.22
2025-01-02,Hospital Sant Pau,HSP,45-64,Dona,0,0.22
2025-01-02,Hospital Sant Pau,HSP,45-64,Home,1,0.22
2025-01-02,Hospital Sant Pau,HSP,65+,Dona,3,0.22
2025-01-02,Hospital Sant Pau,HSP,65+,Home,4,0.22
2025-01-02,Hospital Bellvitge,HB,0-14,Dona,0,0.03
2025-01-02,Hospital Bellvitge,HB,0-14,Home,0,0.03
2025-01-02,Hospital Bellvitge,HB,15-44,Dona,0,0.03
2025-01-02,Hospital Bellvitge,HB,15-44,Home,0,0.03
2025-01-02,Hospital Bellvitge,HB,45-64,Dona,1,0.03
2025-01-02,Hospital Bellvitge,HB,45-64,Home,0,0.03
2025-01-02,Hospital Bellvitge,HB,65+,Dona,0,0.03
2025-01-02,Hospital Bellvitge,HB,65+,Home,0,0.03
2025-01-02,Hospital Can Ruti,HCR,0-14,Dona,1,0.0
2025-01-02,Hospital Can Ruti,HCR,0-14,Home,0,0.0
2025-01-02,Hospital Can Ruti,HCR,15-44,Dona,3,0.0
2025-01-02,Hospital Can Ruti,HCR,15-44,Home,0,0.0
2025-01-02,Hospital Can Ruti,HCR,45-64,Dona,3,0.0
2025-01-02,Hospital Can Ruti,HCR,45-64,Home,0,0.0
2025-01-02,Hospital Can Ruti,HCR,65+,Dona,5,0.0
2025-01-02,Hospital Can Ruti,HCR,65+,Home,2,0.0
2025-01-02,Hospital Arnau de Vilanova,HAV,0-14,Dona,0,0.0
2025-01-02,Hospital Arnau de Vilanova,HAV,0-14,Home,0,0.0
2025-01-02,Hospital Arnau de Vilanova,HAV,15-44,Dona,1,0.0
2025-01-02,Hospital Arnau de Vilanova,HAV,15-44,Home,1,0.0
2025-01-02,Hospital Arnau de Vilanova,HAV,45-64,Dona,2,0.0
2025-01-02,Hospital Arnau de Vilanova,HAV,45-64,Home,1,0.0
2025-01-02,Hospital Arnau de Vilanova,HAV,65+,Dona,3,0.0
2025-01-02,Hospital Arnau de Vilanova,HAV,65+,Home,3,0.0
2025-01-02,Hospital Josep Trueta,HJT,0-14,Dona,4,0.0
2025-01-02,Hospital Josep Trueta,HJT,0-14,Home,0,0.0
2025-01-02,Hospital Josep Trueta,HJT,15-44,Dona,2,0.0
2025-01-02,Hospital Josep Trueta,HJT,15-44,Home,2,0.0
2025-01-02,Hospital Josep Trueta,HJT,45-64,Dona,2,0.0
2025-01-02,Hospital Josep Trueta,HJT,45-64,Home,1,0.0
