Data,Grup_Edat,Genere,HAV,HB,HC,HCR,HJT,HSP,HVD
2025-01-01,0-14,Dona,2.0,1.0,2.0,1.0,0.0,0.0,0.0
2025-01-01,0-14,Home,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,15-44,Dona,1.0,3.0,0.0,0.0,1.0,1.0,2.0
2025-01-01,15-44,Home,5.0,1.0,1.0,0.0,1.0,0.0,1.0
2025-01-01,45-64,Dona,3.0,1.0,0.0,2.0,1.0,0.0,0.0
2025-01-01,45-64,Home,2.0,0.0,0.0,0.0,2.0,2.0,1.0
2025-01-01,65+,Dona,5.0,4.0,3.0,0.0,0.0,2.0,1.0
2025-01-01,65+,Home,4.0,6.0,7.0,0.0,2.0,3.0,0.0
2025-01-02,0-14,Dona,2.0,0.0,0.0,0.0,1.0,0.0,2.0
2025-01-02,0-14,Home,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2025-01-02,15-44,Dona,2.0,4.0,4.0,1.0,0.0,1.0,3.0
2025-01-02,15-44,Home,0.0,2.0,0.0,3.0,1.0,1.0,4.0
2025-01-02,45-64,Dona,0.0,2.0,0.0,0.0,1.0,2.0,1.0
2025-01-02,45-64,Home,3.0,1.0,1.0,0.0,0.0,0.0,1.0
2025-01-02,65+,Dona,6.0,5.0,3.0,2.0,6.0,3.0,5.0
2025-01-02,65+,Home,4.0,3.0,2.0,4.0,1.0,5.0,3.0
2025-01-03,0-14,Dona,1.0,0.0,1.0,0.0,3.0,1.0,0.0
2025-01-03,0-14,Home,1.0,1.0,1.0,1.0,2.0,1.0,1.0
2025-01-03,15-44,Dona,3.0,2.0,0.0,1.0,2.0,2.0,2.0
2025-01-03,15-44,Home,2.0,2.0,0.0,0.0,1.0,2.0,0.0
2025-01-03,45-64,Dona,4.0,3.0,0.0,1.0,1.0,2.0,1.0
2025-01-03,45-64,Home,3.0,3.0,0.0,1.0,1.0,2.0,0.0
2025-01-03,65+,Dona,5.0,6.0,7.0,1.0,3.0,3.0,3.0
2025-01-03,65+,Home,4.0,1.0,4.0,1.0,3.0,2.0,2.0
2025-01-04,0-14,Dona,0.0,2.0,1.0,1.0,1.0,0.0,1.0
2025-01-04,0-14,Home,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2025-01-04,15-44,Dona,1.0,2.0,2.0,0.0,2.0,1.0,1.0
2025-01-04,15-44,Home,1.0,3.0,0.0,0.0,1.0,2.0,0.0
2025-01-04,45-64,Dona,0.0,0.0,0.0,1.0,2.0,1.0,0.0
2025-01-04,45-64,Home,0.0,0.0,2.0,0.0,2.0,1.0,0.0
2025-01-04,65+,Dona,3.0,4.0,3.0,0.0,3.0,5.0,3.0
2025-01-04,65+,Home,4.0,5.0,5.0,0.0,2.0,5.0,4.0
2025-01-05,0-14,Dona,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2025-01-05,0-14,Home,2.0,0.0,0.0,0.0,0.0,1.0,2.0
2025-01-05,15-44,Dona,2.0,3.0,2.0,0.0,2.0,0.0,0.0
2025-01-05,15-44,Home,1.0,2.0,1.0,0.0,2.0,0.0,3.0
2025-01-05,45-64,Dona,1.0,1.0,0.0,0.0,1.0,0.0,3.0
2025-01-05,45-64,Home,1.0,2.0,0.0,1.0,0.0,1.0,3.0
2025-01-05,65+,Dona,5.0,5.0,2.0,1.0,3.0,0.0,4.0
2025-01-05,65+,Home,4.0,6.0,1.0,0.0,2.0,1.0,5.0
2025-01-06,0-14,Dona,2.0,1.0,1.0,0.0,1.0,0.0,2.0
2025-01-06,0-14,Home,0.0,1.0,1.0,0.0,2.0,1.0,0.0
2025-01-06,15-44,Dona,1.0,1.0,2.0,0.0,1.0,2.0,5.0
2025-01-06,15-44,Home,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025-01-06,45-64,Dona,0.0,3.0,1.0,0.0,1.0,0.0,5.0
2025-01-06,45-64,Home,2.0,0.0,3.0,3.0,1.0,2.0,0.0
2025-01-06,65+,Dona,2.0,2.0,4.0,1.0,2.0,6.0,5.0
2025-01-06,65+,Home,1.0,0.0,4.0,1.0,3.0,2.0,5.0
2025-01-07,0-14,Dona,0.0,0.0,2.0,0.0,0.0,1.0,0.0
2025-01-07,0-14,Home,0.0,1.0,1.0,1.0,0.0,1.0,2.0
2025-01-07,15-44,Dona,2.0,1.0,3.0,1.0,2.0,1.0,1.0
2025-01-07,15-44,Home,1.0,3.0,0.0,1.0,1.0,2.0,1.0
2025-01-07,45-64,Dona,3.0,3.0,1.0,0.0,0.0,4.0,2.0
2025-01-07,45-64,Home,1.0,0.0,1.0,1.0,2.0,4.0,1.0
2025-01-07,65+,Dona,3.0,2.0,7.0,1.0,2.0,0.0,3.0
2025-01-07,65+,Home,4.0,1.0,1.0,0.0,0.0,3.0,7.0
2025-01-08,0-14,Dona,0.0,0.0,0.0,0.0,1.0,2.0,4.0
2025-01-08,0-14,Home,1.0,1.0,1.0,0.0,0.0,0.0,2.0
2025-01-08,15-44,Dona,2.0,2.0,2.0,1.0,2.0,2.0,3.0
2025-01-08,15-44,Home,2.0,1.0,2.0,1.0,1.0,1.0,2.0
2025-01-08,45-64,Dona,2.0,3.0,3.0,3.0,0.0,3.0,3.0
2025-01-08,45-64,Home,0.0,1.0,2.0,0.0,2.0,1.0,3.0
2025-01-08,65+,Dona,5.0,4.0,3.0,2.0,1.0,1.0,3.0
2025-01-08,65+,Home,3.0,4.0,3.0,3.0,5.0,3.0,8.0
2025-01-09,0-14,Dona,0.0,2.0,0.0,1.0,2.0,0.0,2.0
2025-01-09,0-14,Home,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2025-01-09,15-44,Dona,0.0,1.0,3.0,1.0,1.0,1.0,4.0
2025-01-09,15-44,Home,1.0,0.0,3.0,2.0,0.0,1.0,0.0
2025-01-09,45-64,Dona,2.0,4.0,3.0,1.0,1.0,3.0,2.0
2025-01-09,45-64,Home,1.0,2.0,4.0,2.0,7.0,0.0,7.0
2025-01-09,65+,Dona,5.0,4.0,5.0,0.0,3.0,6.0,7.0
2025-01-09,65+,Home,2.0,5.0,6.0,3.0,3.0,4.0,5.0
2025-01-10,0-14,Dona,0.0,2.0,1.0,1.0,1.0,2.0,0.0
2025-01-10,0-14,Home,0.0,1.0,0.0,0.0,0.0,2.0,2.0
2025-01-10,15-44,Dona,2.0,0.0,0.0,0.0,2.0,5.0,2.0
2025-01-10,15-44,Home,2.0,4.0,6.0,0.0,0.0,2.0,3.0
2025-01-10,45-64,Dona,2.0,2.0,2.0,2.0,4.0,2.0,1.0
2025-01-10,45-64,Home,3.0,3.0,5.0,1.0,2.0,2.0,2.0
2025-01-10,65+,Dona,7.0,4.0,9.0,3.0,7.0,5.0,10.0
2025-01-10,65+,Home,1.0,7.0,6.0,4.0,2.0,5.0,4.0
2025-01-11,0-14,Dona,1.0,3.0,3.0,1.0,0.0,1.0,3.0
2025-01-11,0-14,Home,0.0,0.0,1.0,0.0,2.0,3.0,2.0
2025-01-11,15-44,Dona,1.0,0.0,5.0,1.0,2.0,5.0,2.0
2025-01-11,15-44,Home,3.0,5.0,1.0,0.0,0.0,2.0,2.0
2025-01-11,45-64,Dona,2.0,1.0,1.0,2.0,3.0,2.0,1.0
2025-01-11,45-64,Home,2.0,2.0,5.0,0.0,0.0,1.0,3.0
2025-01-11,65+,Dona,3.0,2.0,7.0,1.0,3.0,6.0,11.0
2025-01-11,65+,Home,2.0,5.0,10.0,5.0,2.0,6.0,1.0
2025-01-12,0-14,Dona,0.0,1.0,3.0,1.0,0.0,2.0,0.0
2025-01-12,0-14,Home,0.0,2.0,2.0,1.0,0.0,0.0,1.0
2025-01-12,15-44,Dona,0.0,1.0,2.0,2.0,3.0,3.0,3.0
2025-01-12,15-44,Home,2.0,1.0,2.0,0.0,2.0,2.0,6.0
2025-01-12,45-64,Dona,0.0,3.0,2.0,1.0,2.0,1.0,4.0
2025-01-12,45-64,Home,1.0,2.0,6.0,1.0,2.0,2.0,4.0
2025-01-12,65+,Dona,3.0,3.0,4.0,4.0,5.0,9.0,5.0
2025-01-12,65+,Home,3.0,4.0,4.0,2.0,3.0,6.0,6.0
2025-01-13,0-14,Dona,0.0,1.0,0.0,3.0,0.0,1.0,1.0
2025-01-13,0-14,Home,0.0,3.0,2.0,1.0,1.0,2.0,2.0
2025-01-13,15-44,Dona,1.0,1.0,3.0,0.0,2.0,4.0,3.0
2025-01-13,15-44,Home,0.0,1.0,2.0,3.0,1.0,1.0,5.0
2025-01-13,45-64,Dona,0.0,0.0,6.0,0.0,0.0,4.0,2.0
2025-01-13,45-64,Home,0.0,0.0,4.0,1.0,1.0,3.0,2.0
2025-01-13,65+,Dona,2.0,7.0,8.0,3.0,0.0,8.0,3.0
2025-01-13,65+,Home,4.0,5.0,6.0,4.0,0.0,6.0,10.0
2025-01-14,0-14,Dona,2.0,1.0,3.0,0.0,0.0,1.0,1.0
2025-01-14,0-14,Home,1.0,1.0,3.0,1.0,0.0,2.0,0.0
2025-01-14,15-44,Dona,2.0,3.0,1.0,1.0,1.0,1.0,4.0
2025-01-14,15-44,Home,2.0,3.0,1.0,0.0,0.0,2.0,1.0
2025-01-14,45-64,Dona,1.0,2.0,3.0,1.0,1.0,3.0,2.0
2025-01-14,45-64,Home,1.0,3.0,6.0,0.0,0.0,1.0,2.0
2025-01-14,65+,Dona,5.0,7.0,12.0,3.0,1.0,5.0,8.0
2025-01-14,65+,Home,3.0,3.0,7.0,0.0,1.0,7.0,4.0
2025-01-15,0-14,Dona,1.0,1.0,3.0,1.0,0.0,2.0,0.0
2025-01-15,0-14,Home,0.0,2.0,4.0,0.0,0.0,1.0,0.0
2025-01-15,15-44,Dona,1.0,2.0,6.0,0.0,2.0,1.0,4.0
2025-01-15,15-44,Home,3.0,7.0,5.0,0.0,1.0,3.0,3.0
2025-01-15,45-64,Dona,1.0,3.0,4.0,1.0,0.0,5.0,1.0
2025-01-15,45-64,Home,3.0,3.0,3.0,2.0,2.0,3.0,2.0
2025-01-15,65+,Dona,4.0,5.0,8.0,3.0,4.0,3.0,6.0
2025-01-15,65+,Home,1.0,7.0,7.0,1.0,0.0,5.0,6.0
2025-01-16,0-14,Dona,0.0,0.0,3.0,2.0,1.0,2.0,3.0
2025-01-16,0-14,Home,0.0,1.0,2.0,1.0,2.0,4.0,2.0
2025-01-16,15-44,Dona,3.0,5.0,2.0,1.0,1.0,4.0,4.0
2025-01-16,15-44,Home,5.0,1.0,4.0,2.0,1.0,2.0,4.0
2025-01-16,45-64,Dona,3.0,3.0,2.0,2.0,1.0,2.0,3.0
2025-01-16,45-64,Home,2.0,5.0,11.0,4.0,2.0,3.0,1.0
2025-01-16,65+,Dona,4.0,12.0,12.0,7.0,3.0,12.0,4.0
2025-01-16,65+,Home,2.0,13.0,6.0,4.0,4.0,5.0,4.0
2025-01-17,0-14,Dona,1.0,2.0,3.0,3.0,1.0,3.0,2.0
2025-01-17,0-14,Home,1.0,1.0,0.0,0.0,1.0,0.0,4.0
2025-01-17,15-44,Dona,1.0,2.0,3.0,2.0,0.0,3.0,2.0
2025-01-17,15-44,Home,4.0,5.0,4.0,3.0,3.0,4.0,0.0
2025-01-17,45-64,Dona,3.0,2.0,4.0,0.0,1.0,5.0,2.0
2025-01-17,45-64,Home,6.0,1.0,3.0,4.0,0.0,6.0,3.0
2025-01-17,65+,Dona,2.0,11.0,6.0,2.0,3.0,8.0,1.0
2025-01-17,65+,Home,4.0,8.0,7.0,4.0,4.0,8.0,5.0
2025-01-18,0-14,Dona,0.0,4.0,1.0,0.0,1.0,2.0,1.0
2025-01-18,0-14,Home,2.0,0.0,2.0,0.0,0.0,3.0,1.0
2025-01-18,15-44,Dona,1.0,9.0,4.0,2.0,1.0,5.0,1.0
2025-01-18,15-44,Home,2.0,7.0,3.0,0.0,2.0,5.0,2.0
2025-01-18,45-64,Dona,0.0,5.0,5.0,1.0,1.0,2.0,2.0
2025-01-18,45-64,Home,1.0,8.0,4.0,3.0,0.0,1.0,0.0
2025-01-18,65+,Dona,1.0,6.0,7.0,3.0,3.0,9.0,2.0
2025-01-18,65+,Home,4.0,10.0,3.0,3.0,2.0,7.0,3.0
2025-01-19,0-14,Dona,0.0,2.0,1.0,0.0,2.0,3.0,0.0
2025-01-19,0-14,Home,2.0,1.0,4.0,1.0,1.0,2.0,1.0
2025-01-19,15-44,Dona,0.0,4.0,2.0,0.0,1.0,2.0,1.0
2025-01-19,15-44,Home,1.0,6.0,2.0,0.0,1.0,4.0,1.0
2025-01-19,45-64,Dona,4.0,3.0,1.0,5.0,3.0,3.0,1.0
2025-01-19,45-64,Home,2.0,4.0,7.0,2.0,3.0,1.0,1.0
2025-01-19,65+,Dona,9.0,9.0,4.0,5.0,0.0,11.0,4.0
2025-01-19,65+,Home,4.0,7.0,4.0,6.0,2.0,7.0,4.0
2025-01-20,0-14,Dona,0.0,1.0,0.0,0.0,1.0,2.0,0.0
2025-01-20,0-14,Home,1.0,4.0,1.0,2.0,0.0,1.0,2.0
2025-01-20,15-44,Dona,1.0,3.0,5.0,2.0,3.0,2.0,1.0
2025-01-20,15-44,Home,6.0,5.0,3.0,2.0,1.0,1.0,2.0
2025-01-20,45-64,Dona,2.0,5.0,0.0,2.0,2.0,0.0,1.0
2025-01-20,45-64,Home,3.0,2.0,1.0,4.0,3.0,4.0,2.0
2025-01-20,65+,Dona,2.0,6.0,3.0,2.0,4.0,8.0,2.0
2025-01-20,65+,Home,6.0,8.0,5.0,12.0,3.0,9.0,1.0
2025-01-21,0-14,Dona,3.0,0.0,3.0,2.0,1.0,1.0,0.0
2025-01-21,0-14,Home,0.0,0.0,1.0,4.0,2.0,2.0,0.0
